VICTIM_AGE,VICTIM_GENDER,INCIDENT_AREA
30,F,Rampart
22,M,Topanga
65,F,77th Street
52,F,N Hollywood
26,F,Central
41,F,Southeast
32,M,Pacific
0,,Van Nuys
22,M,Hollywood
25,F,Pacific
11,F,Hollenbeck
29,F,N Hollywood
34,M,Wilshire
21,M,77th Street
71,F,Southwest
47,M,Devonshire
31,F,Hollywood
29,F,Harbor
32,F,Central
31,M,Southeast
48,F,Hollenbeck
48,F,77th Street
51,F,Rampart
70,F,77th Street
36,F,Southeast
20,M,Rampart
27,M,West Valley
0,,Harbor
23,F,Hollenbeck
38,M,Topanga
0,,Hollenbeck
53,F,Newton
20,M,Newton
48,F,Foothill
60,M,Pacific
42,M,Harbor
20,F,Hollenbeck
-2,M,77th Street
72,M,Southwest
32,M,Foothill
0,X,Harbor
2,M,Southeast
43,F,Southeast
21,M,Foothill
38,F,Mission
14,F,West Valley
44,F,N Hollywood
58,F,Northeast
52,M,Pacific
22,F,Newton
0,,Harbor
59,F,Wilshire
48,F,Newton
24,M,Southwest
45,M,Mission
40,F,Newton
58,F,N Hollywood
29,F,Central
0,,Southeast
0,X,Northeast
36,F,77th Street
23,F,Foothill
45,F,Van Nuys
0,M,Hollenbeck
25,F,Central
25,M,Topanga
47,F,Rampart
6,F,Foothill
52,M,N Hollywood
37,M,Pacific
66,M,Wilshire
42,F,West Valley
34,M,Hollywood
8,F,Southeast
59,F,Devonshire
42,F,Newton
2,F,Southeast
47,M,West Valley
13,F,West LA
52,F,N Hollywood
55,M,Hollywood
5,M,Devonshire
0,,Devonshire
71,F,Wilshire
17,M,Van Nuys
36,F,N Hollywood
37,F,Hollywood
58,F,Hollywood
62,M,Devonshire
26,M,Southeast
45,F,Pacific
26,F,Newton
36,F,Olympic
49,M,Mission
54,F,N Hollywood
44,M,Foothill
70,M,Devonshire
54,M,Southeast
37,F,N Hollywood
45,M,Olympic
53,F,77th Street
55,M,Devonshire
52,M,Van Nuys
27,M,Hollywood
50,F,Newton
3,F,West Valley
33,F,Southeast
36,F,Devonshire
23,F,Southwest
57,F,Central
30,F,Wilshire
36,M,Central
21,F,Northeast
16,F,West Valley
28,M,Southwest
35,F,Olympic
33,F,Wilshire
30,F,77th Street
8,F,Rampart
-1,X,Olympic
21,M,Mission
40,M,Van Nuys
22,M,Wilshire
45,M,Topanga
53,M,Olympic
43,M,West Valley
43,F,Devonshire
14,F,Topanga
41,F,77th Street
65,F,Pacific
30,F,Newton
0,,Pacific
50,F,Topanga
33,F,Newton
15,F,77th Street
30,M,Devonshire
36,M,Hollywood
26,F,Southwest
35,F,Rampart
38,M,Mission
38,M,West Valley
12,F,Southeast
41,M,Devonshire
46,F,West LA
20,F,77th Street
39,M,Harbor
11,F,Mission
44,M,77th Street
25,M,Harbor
70,M,Hollywood
75,F,Central
41,F,Pacific
37,M,West LA
36,M,Harbor
59,F,Wilshire
-2,M,Devonshire
60,F,Southwest
16,M,Pacific
46,F,Hollywood
57,M,Northeast
31,F,Southwest
28,F,Southwest
10,F,Southeast
0,,N Hollywood
59,M,77th Street
31,F,Foothill
29,M,West Valley
23,F,Hollenbeck
47,F,Wilshire
77,M,Newton
34,M,N Hollywood
51,M,Hollenbeck
32,M,Central
31,M,Newton
-1,M,West Valley
72,F,Topanga
39,M,Newton
27,F,Mission
30,F,Rampart
25,M,Central
53,M,Topanga
0,,77th Street
22,F,Pacific
26,M,77th Street
29,F,Southwest
0,,77th Street
50,M,Olympic
34,M,Northeast
54,F,Foothill
37,M,Pacific
45,F,Southeast
14,M,Pacific
30,F,West Valley
34,F,West LA
22,M,Central
34,F,Hollenbeck
44,M,Northeast
0,,Wilshire
0,X,Northeast
33,M,Topanga
64,M,Van Nuys
24,F,77th Street
30,M,Devonshire
10,F,Olympic
65,F,Topanga
33,F,West Valley
67,F,Devonshire
48,M,Northeast
28,F,Mission
12,M,Foothill
33,F,Newton
0,,West LA
55,F,Wilshire
25,M,Harbor
38,F,Harbor
27,F,Newton
7,F,Harbor
28,M,Foothill
53,M,Olympic
23,M,Hollywood
61,F,77th Street
51,M,Newton
50,M,77th Street
12,F,77th Street
0,,Mission
8,F,Northeast
39,M,Van Nuys
24,F,Newton
30,M,77th Street
44,F,Wilshire
64,M,Newton
14,F,Harbor
51,F,Topanga
14,F,Mission
46,F,Wilshire
19,M,Newton
68,M,West LA
27,M,N Hollywood
57,F,Devonshire
31,F,Foothill
51,M,Hollenbeck
25,M,Northeast
0,,Newton
13,F,Newton
28,F,Van Nuys
57,F,N Hollywood
61,M,Central
28,M,Foothill
53,M,West Valley
29,M,Olympic
42,F,Devonshire
64,F,Van Nuys
18,M,Southeast
26,F,Newton
21,F,Pacific
20,F,Southwest
25,F,Olympic
67,M,Newton
0,,Southwest
54,F,Harbor
31,F,West LA
70,M,Olympic
66,M,77th Street
52,M,Southwest
24,M,Southwest
38,M,Topanga
57,M,Topanga
42,F,Newton
0,,Foothill
31,F,West LA
24,F,77th Street
56,M,Hollywood
28,F,77th Street
13,F,Topanga
23,F,N Hollywood
62,F,N Hollywood
41,F,Southwest
32,M,Hollywood
29,M,Hollywood
25,F,West Valley
47,M,Olympic
0,,Southeast
71,F,Hollywood
-1,X,West LA
-1,X,Central
28,F,Hollywood
29,M,Rampart
15,F,Northeast
0,,Pacific
50,F,Mission
19,F,Newton
49,F,N Hollywood
45,F,Mission
30,F,Rampart
36,F,77th Street
44,F,Hollywood
41,M,Olympic
62,F,N Hollywood
44,F,Northeast
81,F,West LA
0,,77th Street
28,F,Southwest
25,F,77th Street
42,F,Southeast
13,F,77th Street
84,F,Devonshire
40,F,Topanga
69,M,Van Nuys
13,F,Devonshire
51,M,Devonshire
29,F,Southeast
19,F,N Hollywood
27,F,Pacific
45,M,Hollenbeck
42,F,Mission
0,X,Hollywood
0,X,77th Street
55,F,Mission
38,M,Olympic
-1,X,Central
13,F,West Valley
-1,X,Northeast
60,M,West Valley
41,M,Northeast
22,F,77th Street
32,F,Rampart
64,M,Devonshire
46,F,Olympic
31,F,N Hollywood
0,X,Hollywood
32,M,Olympic
27,M,Central
24,M,N Hollywood
55,F,West LA
34,F,Southwest
17,F,Northeast
24,F,Van Nuys
24,M,Rampart
58,M,Mission
12,F,Van Nuys
0,,Pacific
21,F,Pacific
30,M,Olympic
27,F,77th Street
51,F,Devonshire
68,M,Olympic
0,M,N Hollywood
44,M,West Valley
61,M,Foothill
53,F,Olympic
63,F,West LA
21,F,Hollywood
10,F,Southwest
11,F,Foothill
57,X,Rampart
0,X,West LA
29,F,Harbor
15,F,Newton
41,M,Central
19,F,Hollywood
89,F,N Hollywood
18,M,Southwest
52,M,N Hollywood
57,X,Devonshire
21,F,Southeast
32,M,West LA
14,F,Pacific
65,F,Olympic
8,F,West Valley
28,F,Southwest
29,F,Southeast
23,F,Wilshire
-3,X,West LA
68,M,West LA
59,M,77th Street
5,F,Pacific
42,M,Mission
-1,M,Hollenbeck
42,M,Wilshire
32,F,Southeast
68,F,West Valley
28,F,Southeast
55,M,Topanga
29,F,77th Street
19,M,Wilshire
49,F,Wilshire
14,F,Southwest
32,F,Mission
26,F,Wilshire
70,F,Van Nuys
45,M,Hollywood
43,M,Wilshire
36,F,N Hollywood
48,F,Topanga
25,F,Hollenbeck
31,M,West Valley
0,M,Olympic
51,F,Wilshire
6,M,Devonshire
7,M,Southeast
28,F,West Valley
0,,Pacific
18,F,Olympic
23,F,Mission
19,M,Southeast
77,F,West Valley
4,F,Mission
24,F,Central
31,F,Devonshire
22,F,77th Street
28,M,Southwest
33,F,Mission
44,F,Wilshire
21,F,Rampart
-1,X,Wilshire
35,F,77th Street
22,F,Central
32,F,Rampart
23,F,Foothill
26,M,West LA
43,M,Olympic
0,,Topanga
0,X,Central
55,M,Van Nuys
76,M,West Valley
10,F,N Hollywood
11,F,Olympic
49,F,West LA
25,F,Devonshire
9,F,Rampart
53,F,77th Street
16,F,Northeast
50,M,Hollywood
35,F,Topanga
9,F,Northeast
4,M,Pacific
27,F,Newton
27,M,Central
62,F,West Valley
62,F,West Valley
34,M,77th Street
58,M,Hollenbeck
47,M,West LA
38,M,Wilshire
13,F,West LA
19,F,Central
45,M,Wilshire
0,,Olympic
13,F,N Hollywood
77,F,Hollenbeck
41,M,Van Nuys
61,M,77th Street
46,M,Southwest
23,M,Rampart
4,F,Northeast
47,M,Topanga
67,F,N Hollywood
4,M,Topanga
42,M,N Hollywood
25,M,Foothill
22,F,77th Street
27,M,Van Nuys
72,M,West Valley
87,M,N Hollywood
61,F,Southeast
42,F,Southeast
56,F,N Hollywood
14,F,Southwest
10,F,Southeast
36,M,Devonshire
35,F,77th Street
68,F,Foothill
31,M,Olympic
29,M,Southeast
41,F,Pacific
45,F,Northeast
36,M,West Valley
23,M,Van Nuys
15,F,West Valley
59,F,West LA
30,F,Harbor
46,F,Rampart
32,M,West LA
24,M,Hollywood
55,F,Van Nuys
32,F,Olympic
27,F,Pacific
47,F,Devonshire
22,F,Southwest
39,F,Devonshire
38,M,Central
20,M,Wilshire
66,M,Foothill
34,F,77th Street
31,F,Foothill
61,F,N Hollywood
65,F,Southwest
20,M,Central
17,F,Southwest
46,M,Hollenbeck
5,M,Rampart
75,M,West LA
9,F,Southwest
27,M,Rampart
29,F,Pacific
19,M,Harbor
86,F,N Hollywood
26,M,N Hollywood
53,X,Central
11,F,Southwest
29,F,77th Street
24,M,Southeast
13,F,West LA
70,F,Hollywood
11,F,Van Nuys
25,F,Harbor
27,M,Central
74,F,Devonshire
39,F,Harbor
20,F,Rampart
60,F,Southwest
35,M,Southeast
-1,X,Olympic
12,F,77th Street
-2,X,Hollenbeck
10,F,Southeast
-1,X,Pacific
75,F,Foothill
15,F,N Hollywood
53,F,Southeast
43,M,Olympic
32,M,Foothill
24,F,Newton
46,F,West Valley
66,M,Central
14,M,Wilshire
0,X,West LA
46,F,West Valley
36,M,Pacific
27,F,Olympic
60,F,Van Nuys
41,M,Devonshire
62,M,N Hollywood
7,F,Foothill
17,F,Pacific
33,F,77th Street
22,M,77th Street
36,F,Foothill
18,F,Mission
0,,West Valley
53,F,Newton
27,F,Pacific
27,M,Central
50,M,Van Nuys
34,F,Van Nuys
0,,Mission
33,F,77th Street
48,F,Olympic
45,F,Olympic
0,X,Olympic
35,F,Wilshire
42,M,Topanga
48,F,Hollywood
45,M,Mission
48,M,Van Nuys
28,F,Central
44,M,Devonshire
28,M,Rampart
51,M,Newton
38,F,Van Nuys
19,F,West LA
52,M,N Hollywood
29,F,Olympic
25,M,N Hollywood
53,F,Southwest
19,X,Southwest
41,F,Central
56,F,N Hollywood
12,F,Olympic
54,M,Wilshire
44,F,Devonshire
25,F,Southeast
24,M,N Hollywood
37,M,Rampart
20,F,Wilshire
26,F,Olympic
23,M,N Hollywood
0,,Newton
25,F,Wilshire
33,M,Central
36,M,Foothill
23,F,Hollywood
42,M,N Hollywood
43,M,Foothill
76,M,Northeast
8,F,Newton
46,M,Hollywood
37,M,Southwest
65,M,Newton
32,F,Northeast
64,F,Devonshire
21,M,Foothill
66,F,Devonshire
51,M,77th Street
15,M,Newton
56,M,Devonshire
43,M,Pacific
38,M,Southwest
19,M,Wilshire
26,M,77th Street
18,F,West Valley
26,M,Southwest
30,F,Central
56,F,West Valley
0,,Harbor
64,M,Foothill
68,M,Olympic
31,F,Southeast
49,M,Wilshire
23,F,Hollywood
31,F,Hollywood
30,F,Newton
61,F,Hollenbeck
44,F,Olympic
24,F,N Hollywood
63,F,Southwest
35,M,Wilshire
20,M,Southwest
47,M,West LA
41,F,Van Nuys
46,F,Pacific
13,F,Newton
38,M,Central
40,M,Pacific
45,F,Newton
44,F,77th Street
78,M,Topanga
23,M,Topanga
51,F,Pacific
37,M,Harbor
15,M,Olympic
38,F,Topanga
25,F,Southeast
59,M,Topanga
66,F,Olympic
55,M,Central
75,F,Rampart
-1,F,West LA
40,F,Wilshire
58,F,West LA
34,F,77th Street
57,M,Topanga
40,M,West Valley
32,F,Central
11,F,Olympic
24,M,77th Street
0,,Foothill
29,M,Harbor
44,F,Central
20,F,Southeast
29,M,Southwest
13,F,Olympic
36,M,Hollywood
42,M,Mission
71,F,West Valley
30,F,Topanga
23,F,Central
28,F,Southwest
71,F,Foothill
0,,Harbor
42,M,Harbor
52,M,N Hollywood
0,M,Van Nuys
82,M,Mission
55,M,Southwest
25,M,Rampart
30,F,Pacific
55,F,Southeast
40,M,77th Street
0,M,West Valley
81,F,West Valley
0,M,Northeast
44,M,Mission
32,M,N Hollywood
19,F,Hollywood
-2,X,Devonshire
9,F,Devonshire
23,M,Newton
52,M,Devonshire
38,M,Wilshire
11,F,Rampart
9,F,Newton
60,F,Devonshire
24,F,Olympic
79,F,Hollywood
44,F,Harbor
23,M,Southwest
28,F,77th Street
55,M,Southwest
41,M,West Valley
45,F,Northeast
41,F,Southwest
35,M,West Valley
37,F,N Hollywood
44,M,Southeast
34,F,Olympic
67,F,Devonshire
15,F,77th Street
29,F,Wilshire
0,,Harbor
26,F,Newton
61,F,Wilshire
10,F,Pacific
3,M,Mission
47,F,N Hollywood
40,F,Pacific
39,F,Harbor
34,F,77th Street
28,F,Hollywood
17,F,77th Street
29,M,Hollywood
0,,West Valley
0,,West LA
25,F,Southeast
37,M,Van Nuys
9,F,Newton
36,M,77th Street
0,,Olympic
25,F,West LA
24,M,Rampart
21,M,Hollenbeck
5,M,77th Street
19,F,West Valley
21,F,Foothill
15,F,Northeast
42,F,West Valley
35,F,West Valley
56,M,Hollywood
11,F,Newton
30,M,Wilshire
87,M,N Hollywood
43,M,Topanga
8,F,Harbor
40,F,Foothill
28,M,Foothill
68,M,Topanga
85,F,Pacific
63,F,West Valley
40,M,Van Nuys
25,M,Newton
26,F,77th Street
42,F,Newton
10,F,Foothill
35,F,Topanga
49,F,Van Nuys
37,M,Newton
0,,Hollenbeck
19,F,Van Nuys
50,F,Mission
0,,West LA
48,F,Harbor
48,M,Topanga
14,F,Pacific
30,F,N Hollywood
53,M,Central
29,M,Hollywood
13,F,Harbor
30,M,77th Street
71,F,Rampart
53,F,Pacific
67,M,Topanga
56,M,Pacific
80,M,Northeast
16,F,77th Street
44,F,West LA
38,F,Pacific
23,F,Mission
49,M,West Valley
-1,X,West LA
0,X,77th Street
41,M,77th Street
-1,F,Van Nuys
27,M,Topanga
48,F,Northeast
23,M,Hollenbeck
28,F,Wilshire
22,M,Topanga
25,F,Northeast
32,M,Devonshire
36,M,Devonshire
9,F,N Hollywood
41,M,Foothill
15,F,Rampart
57,M,Southwest
16,F,West Valley
13,F,Hollenbeck
38,M,Southeast
34,M,Harbor
58,F,Southeast
23,M,77th Street
43,X,Southwest
8,F,Foothill
6,F,Topanga
29,F,Olympic
38,M,Devonshire
42,M,Pacific
35,M,Wilshire
56,M,Southeast
29,F,Devonshire
26,F,Southwest
12,F,Rampart
18,F,Southeast
63,M,Devonshire
21,F,Rampart
40,M,Harbor
54,F,West LA
58,F,Hollywood
32,M,Rampart
2,M,Pacific
29,M,Olympic
0,,Hollenbeck
38,F,Southwest
24,M,77th Street
40,F,Southeast
26,F,West LA
39,F,Van Nuys
12,F,Southeast
82,M,West LA
72,M,Topanga
23,F,Olympic
49,F,Mission
49,F,Devonshire
65,F,West LA
77,F,Topanga
-2,M,West LA
29,M,77th Street
27,M,Topanga
36,F,Southeast
0,,Wilshire
0,X,Southeast
0,M,N Hollywood
60,M,Van Nuys
32,M,N Hollywood
27,F,Foothill
52,F,Southeast
27,F,Wilshire
32,M,Van Nuys
46,M,Southwest
51,M,Mission
40,F,Mission
32,F,Newton
32,F,77th Street
47,F,Southeast
0,X,Harbor
45,F,Newton
28,F,West LA
59,M,Mission
0,M,N Hollywood
36,M,Foothill
31,F,West Valley
50,M,Hollywood
18,F,Devonshire
0,F,Van Nuys
24,M,Northeast
20,F,77th Street
44,M,77th Street
40,M,Foothill
33,F,Southeast
37,F,Hollywood
32,F,Mission
30,M,Pacific
90,F,77th Street
35,F,Topanga
33,M,Hollywood
