CRIMINAL_ID,INCIDENT_DATE,INCIDENT_AREA
221312369,06/03/2022 12:00:00 AM,Newton
220911866,07/26/2022 12:00:00 AM,Van Nuys
231906599,03/03/2023 12:00:00 AM,Mission
230610629,06/02/2023 12:00:00 AM,Hollywood
220321807,12/13/2022 12:00:00 AM,Southwest
221216052,07/07/2022 12:00:00 AM,77th Street
241504067,01/02/2024 12:00:00 AM,N Hollywood
220508440,04/27/2022 12:00:00 AM,Harbor
220213256,07/14/2022 12:00:00 AM,Rampart
221607555,04/22/2022 12:00:00 AM,Foothill
221516944,11/03/2022 12:00:00 AM,N Hollywood
230617817,11/14/2023 12:00:00 AM,Hollywood
231115685,11/12/2023 12:00:00 AM,Northeast
231707687,04/04/2023 12:00:00 AM,Devonshire
230711357,06/26/2023 12:00:00 AM,Wilshire
220409258,05/29/2022 12:00:00 AM,Hollenbeck
220119956,09/06/2022 12:00:00 AM,Central
240604173,01/05/2024 12:00:00 AM,Hollywood
220104934,01/17/2022 12:00:00 AM,Central
230817493,11/27/2023 12:00:00 AM,West LA
221718084,12/20/2022 12:00:00 AM,Devonshire
221110929,06/28/2022 12:00:00 AM,Northeast
231711735,06/07/2023 12:00:00 AM,Devonshire
231912127,07/26/2023 12:00:00 AM,Mission
231818830,11/01/2023 12:00:00 AM,Southeast
221710268,06/21/2022 12:00:00 AM,Devonshire
231007464,03/30/2023 12:00:00 AM,West Valley
221917823,12/12/2022 12:00:00 AM,Mission
211404152,01/04/2021 12:00:00 AM,Pacific
231205374,01/25/2023 12:00:00 AM,77th Street
231505589,02/08/2023 12:00:00 AM,N Hollywood
231420506,11/06/2023 12:00:00 AM,Pacific
221508505,04/20/2022 12:00:00 AM,N Hollywood
231817823,10/13/2023 12:00:00 AM,Southeast
231212586,05/24/2023 12:00:00 AM,77th Street
220309099,04/14/2022 12:00:00 AM,Southwest
201810154,04/26/2020 12:00:00 AM,Southeast
221412410,06/15/2022 12:00:00 AM,Pacific
211505284,02/02/2021 12:00:00 AM,N Hollywood
220209598,04/25/2022 12:00:00 AM,Rampart
220316688,09/12/2022 12:00:00 AM,Southwest
231814007,07/27/2023 12:00:00 AM,Southeast
221209581,04/07/2022 12:00:00 AM,77th Street
220917870,12/31/2022 12:00:00 AM,Van Nuys
221017007,11/28/2022 12:00:00 AM,West Valley
232112058,07/25/2023 12:00:00 AM,Topanga
220313293,07/06/2022 12:00:00 AM,Southwest
220320985,07/07/2023 12:00:00 AM,Southwest
221909318,05/09/2022 12:00:00 AM,Mission
231510293,05/27/2023 12:00:00 AM,N Hollywood
230714162,09/02/2023 12:00:00 AM,Wilshire
221110658,06/21/2022 12:00:00 AM,Northeast
220207597,03/21/2022 12:00:00 AM,Rampart
221713038,08/31/2022 12:00:00 AM,Devonshire
221105273,02/04/2022 12:00:00 AM,Northeast
230710696,06/11/2023 12:00:00 AM,Wilshire
231510050,05/22/2023 12:00:00 AM,N Hollywood
230911729,06/10/2023 12:00:00 AM,Van Nuys
221209383,03/30/2022 12:00:00 AM,77th Street
220211619,05/07/2022 12:00:00 AM,Rampart
231105297,02/03/2023 12:00:00 AM,Northeast
232011006,06/02/2023 12:00:00 AM,Olympic
221308122,03/10/2022 12:00:00 AM,Newton
201410122,04/28/2020 12:00:00 AM,Pacific
231709319,05/07/2023 12:00:00 AM,Devonshire
221917253,11/25/2022 12:00:00 AM,Mission
220204234,01/05/2022 12:00:00 AM,Rampart
220604399,01/10/2022 12:00:00 AM,Hollywood
231320297,11/08/2023 12:00:00 AM,Newton
221511470,06/22/2022 12:00:00 AM,N Hollywood
231309161,04/07/2023 12:00:00 AM,Newton
221516098,10/13/2022 12:00:00 AM,N Hollywood
230118041,08/16/2023 12:00:00 AM,Central
221205458,01/15/2022 12:00:00 AM,77th Street
231315967,08/21/2023 12:00:00 AM,Newton
220514938,10/16/2022 12:00:00 AM,Harbor
230606306,02/24/2023 12:00:00 AM,Hollywood
221507710,03/30/2022 12:00:00 AM,N Hollywood
221300973,09/09/2022 12:00:00 AM,Newton
222114709,09/26/2022 12:00:00 AM,Topanga
221006046,02/24/2022 12:00:00 AM,West Valley
221609983,06/30/2022 12:00:00 AM,Foothill
221806358,02/21/2022 12:00:00 AM,Southeast
221315910,10/29/2020 12:00:00 AM,Newton
230908117,04/13/2023 12:00:00 AM,Van Nuys
231309176,04/14/2023 12:00:00 AM,Newton
232014656,08/25/2023 12:00:00 AM,Olympic
221905982,02/20/2022 12:00:00 AM,Mission
230109090,03/10/2023 12:00:00 AM,Central
221309225,04/07/2022 12:00:00 AM,Newton
210904288,01/09/2021 12:00:00 AM,Van Nuys
231905726,02/08/2023 12:00:00 AM,Mission
221615196,12/16/2022 12:00:00 AM,Foothill
220120619,09/16/2022 12:00:00 AM,Central
220610269,05/13/2022 12:00:00 AM,Hollywood
230218442,10/02/2023 12:00:00 AM,Rampart
221004804,01/23/2022 12:00:00 AM,West Valley
232110833,06/23/2023 12:00:00 AM,Topanga
222004619,12/21/2020 12:00:00 AM,Olympic
220208989,04/14/2022 12:00:00 AM,Rampart
231806653,06/12/2022 12:00:00 AM,Southeast
220706120,02/23/2022 12:00:00 AM,Wilshire
230208225,03/28/2023 12:00:00 AM,Rampart
221806331,02/15/2022 12:00:00 AM,Southeast
210704053,12/31/2020 12:00:00 AM,Wilshire
231221370,10/11/2023 12:00:00 AM,77th Street
221016479,11/14/2022 12:00:00 AM,West Valley
221011289,07/05/2022 12:00:00 AM,West Valley
231421770,12/13/2023 12:00:00 AM,Pacific
221811572,05/24/2022 12:00:00 AM,Southeast
230404996,01/30/2023 12:00:00 AM,Hollenbeck
232117501,12/09/2023 12:00:00 AM,Topanga
221220860,09/15/2022 12:00:00 AM,77th Street
220504655,01/20/2022 12:00:00 AM,Harbor
230813464,07/22/2023 12:00:00 AM,West LA
231905565,02/06/2023 12:00:00 AM,Mission
220910623,06/21/2022 12:00:00 AM,Van Nuys
221226041,12/27/2022 12:00:00 AM,77th Street
231207476,02/27/2023 12:00:00 AM,77th Street
221708027,04/13/2022 12:00:00 AM,Devonshire
220717687,12/12/2022 12:00:00 AM,Wilshire
230507674,04/11/2023 12:00:00 AM,Harbor
220909334,05/18/2022 12:00:00 AM,Van Nuys
221015665,10/25/2022 12:00:00 AM,West Valley
201308739,03/27/2020 12:00:00 AM,Newton
221225047,12/09/2022 12:00:00 AM,77th Street
231810634,05/19/2023 12:00:00 AM,Southeast
230513434,09/12/2023 12:00:00 AM,Harbor
221007765,04/10/2022 12:00:00 AM,West Valley
220311221,05/23/2022 12:00:00 AM,Southwest
220318793,10/19/2022 12:00:00 AM,Southwest
221209976,04/14/2022 12:00:00 AM,77th Street
230605916,02/09/2023 12:00:00 AM,Hollywood
241204387,01/05/2024 12:00:00 AM,77th Street
231420590,11/20/2023 12:00:00 AM,Pacific
230113770,06/06/2023 12:00:00 AM,Central
220712955,08/16/2022 12:00:00 AM,Wilshire
230710300,09/22/2022 12:00:00 AM,Wilshire
220717203,11/30/2022 12:00:00 AM,Wilshire
220904776,01/22/2022 12:00:00 AM,Van Nuys
221006113,02/27/2022 12:00:00 AM,West Valley
231007048,03/21/2023 12:00:00 AM,West Valley
221711184,06/15/2022 12:00:00 AM,Devonshire
220407814,04/22/2022 12:00:00 AM,Hollenbeck
231205329,01/20/2023 12:00:00 AM,77th Street
220619758,12/05/2022 12:00:00 AM,Hollywood
211104796,01/24/2021 12:00:00 AM,Northeast
241204463,01/07/2024 12:00:00 AM,77th Street
220911160,07/06/2022 12:00:00 AM,Van Nuys
212015258,10/05/2021 12:00:00 AM,Olympic
222010418,05/29/2022 12:00:00 AM,Olympic
222013040,08/06/2022 12:00:00 AM,Olympic
211206198,02/03/2021 12:00:00 AM,77th Street
220712765,08/11/2022 12:00:00 AM,Wilshire
221308438,03/23/2022 12:00:00 AM,Newton
221715152,10/20/2022 12:00:00 AM,Devonshire
201112065,07/31/2020 12:00:00 AM,Northeast
220404852,01/28/2022 12:00:00 AM,Hollenbeck
221106692,03/14/2022 12:00:00 AM,Northeast
221908420,04/15/2022 12:00:00 AM,Mission
221818077,09/28/2022 12:00:00 AM,Southeast
221606564,03/21/2022 12:00:00 AM,Foothill
221715311,10/16/2022 12:00:00 AM,Devonshire
231304505,01/10/2023 12:00:00 AM,Newton
221220098,09/07/2022 12:00:00 AM,77th Street
231906446,02/28/2023 12:00:00 AM,Mission
231305562,02/01/2023 12:00:00 AM,Newton
230510455,06/28/2023 12:00:00 AM,Harbor
231309128,04/13/2023 12:00:00 AM,Newton
231106607,03/08/2023 12:00:00 AM,Northeast
220509276,05/18/2022 12:00:00 AM,Harbor
221404672,01/11/2022 12:00:00 AM,Pacific
231506571,03/03/2023 12:00:00 AM,N Hollywood
231210462,04/19/2023 12:00:00 AM,77th Street
240604147,01/05/2024 12:00:00 AM,Hollywood
220507155,03/24/2022 12:00:00 AM,Harbor
230212736,06/20/2023 12:00:00 AM,Rampart
221315909,11/25/2020 12:00:00 AM,Newton
230413909,10/30/2023 12:00:00 AM,Hollenbeck
221304833,01/19/2022 12:00:00 AM,Newton
231411022,05/22/2020 12:00:00 AM,Pacific
230409692,06/24/2023 12:00:00 AM,Hollenbeck
211711508,08/13/2021 12:00:00 AM,Devonshire
221810933,05/17/2022 12:00:00 AM,Southeast
220606971,03/05/2022 12:00:00 AM,Hollywood
231512931,07/28/2023 12:00:00 AM,N Hollywood
231906802,03/09/2023 12:00:00 AM,Mission
222005367,01/30/2022 12:00:00 AM,Olympic
231817789,10/11/2023 12:00:00 AM,Southeast
230707560,03/24/2023 12:00:00 AM,Wilshire
231613896,11/09/2023 12:00:00 AM,Foothill
230818547,12/26/2023 12:00:00 AM,West LA
220608736,04/12/2022 12:00:00 AM,Hollywood
221004913,01/25/2022 12:00:00 AM,West Valley
231204446,01/06/2023 12:00:00 AM,77th Street
231205201,01/16/2023 12:00:00 AM,77th Street
211313647,08/02/2021 12:00:00 AM,Newton
220509193,05/17/2022 12:00:00 AM,Harbor
230708191,04/07/2023 12:00:00 AM,Wilshire
221700766,05/11/2022 12:00:00 AM,Devonshire
231220613,10/02/2023 12:00:00 AM,77th Street
230309403,04/15/2023 12:00:00 AM,Southwest
220506019,02/01/2022 12:00:00 AM,Harbor
231107419,03/30/2023 12:00:00 AM,Northeast
221204063,12/09/2021 12:00:00 AM,77th Street
221225797,12/22/2022 12:00:00 AM,77th Street
231809755,04/28/2023 12:00:00 AM,Southeast
220411016,07/18/2022 12:00:00 AM,Hollenbeck
230710560,06/08/2023 12:00:00 AM,Wilshire
221505387,02/04/2022 12:00:00 AM,N Hollywood
232005220,01/28/2023 12:00:00 AM,Olympic
232110125,06/08/2023 12:00:00 AM,Topanga
230306591,02/19/2023 12:00:00 AM,Southwest
221913440,08/20/2022 12:00:00 AM,Mission
210217152,11/02/2021 12:00:00 AM,Rampart
211804895,12/09/2020 12:00:00 AM,Southeast
220604806,01/19/2022 12:00:00 AM,Hollywood
221404880,01/20/2022 12:00:00 AM,Pacific
221822433,12/19/2022 12:00:00 AM,Southeast
220218655,10/17/2022 12:00:00 AM,Rampart
231706742,03/06/2023 12:00:00 AM,Devonshire
231809250,04/20/2023 12:00:00 AM,Southeast
211105454,02/12/2021 12:00:00 AM,Northeast
220605785,02/08/2022 12:00:00 AM,Hollywood
221604268,01/07/2022 12:00:00 AM,Foothill
232006335,01/23/2023 12:00:00 AM,Olympic
221912723,08/02/2022 12:00:00 AM,Mission
221218237,08/23/2022 12:00:00 AM,77th Street
222008928,04/21/2022 12:00:00 AM,Olympic
221304490,01/11/2022 12:00:00 AM,Newton
221314362,07/11/2022 12:00:00 AM,Newton
230305615,02/01/2023 12:00:00 AM,Southwest
220817021,11/18/2022 12:00:00 AM,West LA
230220152,10/25/2023 12:00:00 AM,Rampart
220206045,02/17/2022 12:00:00 AM,Rampart
230710295,05/31/2023 12:00:00 AM,Wilshire
222104573,01/18/2022 12:00:00 AM,Topanga
221605629,02/21/2022 12:00:00 AM,Foothill
221907310,03/21/2022 12:00:00 AM,Mission
221605942,03/02/2022 12:00:00 AM,Foothill
220221083,12/02/2022 12:00:00 AM,Rampart
210805061,12/24/2020 12:00:00 AM,West LA
221418972,11/15/2022 12:00:00 AM,Pacific
220116036,06/17/2022 12:00:00 AM,Central
221916942,11/15/2022 12:00:00 AM,Mission
210304538,12/21/2020 12:00:00 AM,Southwest
220605303,01/30/2022 12:00:00 AM,Hollywood
220407289,04/06/2022 12:00:00 AM,Hollenbeck
220504793,01/22/2022 12:00:00 AM,Harbor
211206256,10/24/2020 12:00:00 AM,77th Street
231404594,12/31/2022 12:00:00 AM,Pacific
221916382,11/02/2022 12:00:00 AM,Mission
230110332,11/26/2020 12:00:00 AM,Central
230320974,12/08/2023 12:00:00 AM,Southwest
232104037,01/02/2023 12:00:00 AM,Topanga
220319193,10/27/2022 12:00:00 AM,Southwest
231110558,06/27/2023 12:00:00 AM,Northeast
221509576,05/13/2022 12:00:00 AM,N Hollywood
221907738,04/01/2022 12:00:00 AM,Mission
230604435,01/11/2023 12:00:00 AM,Hollywood
220908425,04/26/2022 12:00:00 AM,Van Nuys
230911235,06/29/2023 12:00:00 AM,Van Nuys
230818509,11/20/2023 12:00:00 AM,West LA
232109597,05/27/2023 12:00:00 AM,Topanga
221011819,07/20/2022 12:00:00 AM,West Valley
231711215,06/12/2023 12:00:00 AM,Devonshire
230507982,04/20/2023 12:00:00 AM,Harbor
230714761,09/18/2023 12:00:00 AM,Wilshire
221211022,04/26/2022 12:00:00 AM,77th Street
230506149,02/28/2023 12:00:00 AM,Harbor
221313048,06/17/2022 12:00:00 AM,Newton
241904532,12/19/2023 12:00:00 AM,Mission
230309845,04/24/2023 12:00:00 AM,Southwest
231810615,05/17/2023 12:00:00 AM,Southeast
220110779,04/21/2022 12:00:00 AM,Central
220106694,02/16/2022 12:00:00 AM,Central
230126260,12/11/2023 12:00:00 AM,Central
231223480,11/21/2023 12:00:00 AM,77th Street
221507610,03/28/2022 12:00:00 AM,N Hollywood
231218307,08/18/2023 12:00:00 AM,77th Street
220611171,05/31/2022 12:00:00 AM,Hollywood
220705297,02/04/2022 12:00:00 AM,Wilshire
231805308,01/26/2023 12:00:00 AM,Southeast
231311304,05/25/2023 12:00:00 AM,Newton
220804051,12/11/2021 12:00:00 AM,West LA
221005035,01/29/2022 12:00:00 AM,West Valley
220917253,12/13/2022 12:00:00 AM,Van Nuys
220214942,08/11/2022 12:00:00 AM,Rampart
220620646,12/27/2022 12:00:00 AM,Hollywood
231613511,10/30/2023 12:00:00 AM,Foothill
230609606,05/09/2023 12:00:00 AM,Hollywood
221606629,03/22/2022 12:00:00 AM,Foothill
220310780,05/16/2022 12:00:00 AM,Southwest
220413587,09/26/2022 12:00:00 AM,Hollenbeck
220705715,02/15/2022 12:00:00 AM,Wilshire
221707355,02/15/2022 12:00:00 AM,Devonshire
211611263,08/31/2021 12:00:00 AM,Foothill
232004972,01/25/2023 12:00:00 AM,Olympic
221704892,01/21/2022 12:00:00 AM,Devonshire
222012456,07/19/2022 12:00:00 AM,Olympic
220614618,08/13/2022 12:00:00 AM,Hollywood
220515613,11/03/2022 12:00:00 AM,Harbor
221411398,05/24/2022 12:00:00 AM,Pacific
230304640,01/14/2023 12:00:00 AM,Southwest
222108906,05/03/2022 12:00:00 AM,Topanga
221608687,05/24/2022 12:00:00 AM,Foothill
230218441,10/02/2023 12:00:00 AM,Rampart
221210385,04/21/2020 12:00:00 AM,77th Street
231712864,07/16/2023 12:00:00 AM,Devonshire
212015778,10/16/2021 12:00:00 AM,Olympic
231214436,06/23/2023 12:00:00 AM,77th Street
231308748,04/04/2023 12:00:00 AM,Newton
220517340,12/23/2022 12:00:00 AM,Harbor
201605651,02/09/2020 12:00:00 AM,Foothill
230704658,01/16/2023 12:00:00 AM,Wilshire
220321001,11/29/2022 12:00:00 AM,Southwest
231717780,11/17/2023 12:00:00 AM,Devonshire
230809796,05/17/2023 12:00:00 AM,West LA
221108981,05/10/2022 12:00:00 AM,Northeast
231204979,01/18/2023 12:00:00 AM,77th Street
201215394,06/26/2020 12:00:00 AM,77th Street
230506618,03/13/2023 12:00:00 AM,Harbor
210907013,03/16/2021 12:00:00 AM,Van Nuys
210205090,12/20/2020 12:00:00 AM,Rampart
221507368,03/23/2022 12:00:00 AM,N Hollywood
240904504,01/13/2024 12:00:00 AM,Van Nuys
221409128,04/12/2022 12:00:00 AM,Pacific
221205529,01/28/2022 12:00:00 AM,77th Street
221516877,11/02/2022 12:00:00 AM,N Hollywood
230714857,09/20/2023 12:00:00 AM,Wilshire
211409233,04/06/2021 12:00:00 AM,Pacific
231412171,06/09/2023 12:00:00 AM,Pacific
220517192,12/19/2022 12:00:00 AM,Harbor
221207508,02/28/2022 12:00:00 AM,77th Street
222106975,03/14/2022 12:00:00 AM,Topanga
221209243,03/16/2022 12:00:00 AM,77th Street
220206809,03/03/2022 12:00:00 AM,Rampart
200406391,03/02/2020 12:00:00 AM,Hollenbeck
221212344,05/17/2022 12:00:00 AM,77th Street
221905893,02/15/2022 12:00:00 AM,Mission
221417043,09/28/2022 12:00:00 AM,Pacific
221510639,06/05/2022 12:00:00 AM,N Hollywood
231007023,03/21/2023 12:00:00 AM,West Valley
221216517,07/14/2022 12:00:00 AM,77th Street
231015060,09/14/2023 12:00:00 AM,West Valley
211304794,01/19/2021 12:00:00 AM,Newton
201312835,06/25/2020 12:00:00 AM,Newton
220609836,05/03/2022 12:00:00 AM,Hollywood
230110262,04/09/2023 12:00:00 AM,Central
232004462,01/12/2023 12:00:00 AM,Olympic
232113429,08/28/2023 12:00:00 AM,Topanga
230716588,11/01/2023 12:00:00 AM,Wilshire
221004727,01/21/2022 12:00:00 AM,West Valley
232110277,06/12/2023 12:00:00 AM,Topanga
221110416,06/14/2022 12:00:00 AM,Northeast
231017522,12/23/2023 12:00:00 AM,West Valley
231911608,07/14/2023 12:00:00 AM,Mission
230613179,07/25/2023 12:00:00 AM,Hollywood
221210279,04/16/2022 12:00:00 AM,77th Street
230308058,03/20/2023 12:00:00 AM,Southwest
220813413,08/17/2022 12:00:00 AM,West LA
231109634,06/01/2023 12:00:00 AM,Northeast
220310688,05/15/2022 12:00:00 AM,Southwest
231310841,05/17/2023 12:00:00 AM,Newton
221307277,02/11/2022 12:00:00 AM,Newton
232017416,10/30/2023 12:00:00 AM,Olympic
221706832,03/21/2022 12:00:00 AM,Devonshire
202112289,08/03/2020 12:00:00 AM,Topanga
221008947,05/08/2022 12:00:00 AM,West Valley
221505374,02/04/2022 12:00:00 AM,N Hollywood
220305685,02/08/2022 12:00:00 AM,Southwest
210305239,12/30/2020 12:00:00 AM,Southwest
221614254,11/13/2022 12:00:00 AM,Foothill
221210224,04/14/2022 12:00:00 AM,77th Street
231509915,05/18/2023 12:00:00 AM,N Hollywood
231311162,05/23/2023 12:00:00 AM,Newton
221916140,10/25/2022 12:00:00 AM,Mission
231813707,07/20/2023 12:00:00 AM,Southeast
231808628,03/27/2023 12:00:00 AM,Southeast
220814938,09/25/2022 12:00:00 AM,West LA
221212785,05/30/2022 12:00:00 AM,77th Street
221606131,03/07/2022 12:00:00 AM,Foothill
210805827,02/16/2021 12:00:00 AM,West LA
231220373,09/26/2023 12:00:00 AM,77th Street
221010828,06/24/2022 12:00:00 AM,West Valley
230114808,06/25/2023 12:00:00 AM,Central
222113244,08/19/2022 12:00:00 AM,Topanga
220704424,01/11/2022 12:00:00 AM,Wilshire
222017661,09/23/2022 12:00:00 AM,Olympic
221516921,11/02/2022 12:00:00 AM,N Hollywood
221607647,04/25/2022 12:00:00 AM,Foothill
231609210,06/15/2023 12:00:00 AM,Foothill
220611494,06/08/2022 12:00:00 AM,Hollywood
221506757,11/23/2021 12:00:00 AM,N Hollywood
231109830,06/06/2023 12:00:00 AM,Northeast
220818200,12/15/2022 12:00:00 AM,West LA
220320024,11/09/2022 12:00:00 AM,Southwest
230319519,11/08/2023 12:00:00 AM,Southwest
221011732,07/18/2022 12:00:00 AM,West Valley
221224187,11/18/2022 12:00:00 AM,77th Street
220705842,02/18/2022 12:00:00 AM,Wilshire
221507765,03/31/2022 12:00:00 AM,N Hollywood
210804049,01/02/2021 12:00:00 AM,West LA
231210693,04/19/2023 12:00:00 AM,77th Street
230312511,06/21/2023 12:00:00 AM,Southwest
230209650,04/26/2023 12:00:00 AM,Rampart
222105110,01/28/2022 12:00:00 AM,Topanga
220806369,02/28/2022 12:00:00 AM,West LA
221911806,07/10/2022 12:00:00 AM,Mission
230612691,07/18/2023 12:00:00 AM,Hollywood
231208015,03/05/2023 12:00:00 AM,77th Street
221004502,01/15/2022 12:00:00 AM,West Valley
220208280,04/04/2022 12:00:00 AM,Rampart
211705203,02/02/2021 12:00:00 AM,Devonshire
201310253,05/02/2020 12:00:00 AM,Newton
220911563,07/14/2022 12:00:00 AM,Van Nuys
230907876,04/07/2023 12:00:00 AM,Van Nuys
230119627,09/11/2023 12:00:00 AM,Central
220619815,12/01/2022 12:00:00 AM,Hollywood
220317214,09/21/2022 12:00:00 AM,Southwest
231207740,02/17/2023 12:00:00 AM,77th Street
220815553,10/14/2022 12:00:00 AM,West LA
220204577,01/15/2022 12:00:00 AM,Rampart
211408216,03/16/2021 12:00:00 AM,Pacific
221217505,07/17/2022 12:00:00 AM,77th Street
231614496,11/29/2023 12:00:00 AM,Foothill
220710510,06/16/2022 12:00:00 AM,Wilshire
220416014,12/05/2022 12:00:00 AM,Hollenbeck
220221184,12/05/2022 12:00:00 AM,Rampart
221907753,04/01/2022 12:00:00 AM,Mission
220114107,06/13/2022 12:00:00 AM,Central
221218085,08/08/2022 12:00:00 AM,77th Street
221916426,11/02/2022 12:00:00 AM,Mission
221810263,05/05/2022 12:00:00 AM,Southeast
230618170,11/20/2023 12:00:00 AM,Hollywood
220319411,10/31/2022 12:00:00 AM,Southwest
221717327,12/08/2022 12:00:00 AM,Devonshire
220407062,03/31/2022 12:00:00 AM,Hollenbeck
221513237,08/08/2022 12:00:00 AM,N Hollywood
211518743,12/14/2021 12:00:00 AM,N Hollywood
220512901,08/24/2022 12:00:00 AM,Harbor
230618916,12/13/2023 12:00:00 AM,Hollywood
231309992,05/01/2023 12:00:00 AM,Newton
221704519,12/05/2021 12:00:00 AM,Devonshire
221709277,05/24/2022 12:00:00 AM,Devonshire
211420201,08/03/2020 12:00:00 AM,Pacific
211804059,01/02/2021 12:00:00 AM,Southeast
210905375,02/05/2021 12:00:00 AM,Van Nuys
221513146,08/06/2022 12:00:00 AM,N Hollywood
231717646,11/02/2023 12:00:00 AM,Devonshire
220704526,01/16/2022 12:00:00 AM,Wilshire
221305923,01/26/2022 12:00:00 AM,Newton
220917252,12/13/2022 12:00:00 AM,Van Nuys
230205256,01/20/2023 12:00:00 AM,Rampart
231321415,11/30/2023 12:00:00 AM,Newton
222009929,05/15/2022 12:00:00 AM,Olympic
200114396,07/06/2020 12:00:00 AM,Central
220811962,07/14/2022 12:00:00 AM,West LA
221206342,02/13/2022 12:00:00 AM,77th Street
221106367,03/06/2022 12:00:00 AM,Northeast
221115990,11/07/2022 12:00:00 AM,Northeast
220214438,08/08/2022 12:00:00 AM,Rampart
231013980,08/13/2023 12:00:00 AM,West Valley
222019280,12/16/2022 12:00:00 AM,Olympic
220817417,11/21/2022 12:00:00 AM,West LA
221411798,05/31/2022 12:00:00 AM,Pacific
230604935,01/13/2023 12:00:00 AM,Hollywood
220505308,02/02/2022 12:00:00 AM,Harbor
221225134,12/13/2022 12:00:00 AM,77th Street
220706832,03/16/2022 12:00:00 AM,Wilshire
220818171,12/15/2022 12:00:00 AM,West LA
231807447,03/09/2023 12:00:00 AM,Southeast
231317622,09/20/2023 12:00:00 AM,Newton
221819021,10/05/2022 12:00:00 AM,Southeast
220110351,04/14/2022 12:00:00 AM,Central
221222171,10/19/2022 12:00:00 AM,77th Street
221811447,05/26/2022 12:00:00 AM,Southeast
210107732,03/20/2021 12:00:00 AM,Central
221006093,02/25/2022 12:00:00 AM,West Valley
221217989,08/19/2022 12:00:00 AM,77th Street
221209376,04/06/2022 12:00:00 AM,77th Street
220917492,12/20/2022 12:00:00 AM,Van Nuys
230515145,10/20/2023 12:00:00 AM,Harbor
220914148,09/22/2022 12:00:00 AM,Van Nuys
230317144,09/16/2023 12:00:00 AM,Southwest
220707271,03/27/2022 12:00:00 AM,Wilshire
221514248,08/30/2022 12:00:00 AM,N Hollywood
200912561,07/20/2020 12:00:00 AM,Van Nuys
221908403,04/18/2022 12:00:00 AM,Mission
211004916,01/30/2021 12:00:00 AM,West Valley
221915597,10/11/2022 12:00:00 AM,Mission
231713766,08/05/2023 12:00:00 AM,Devonshire
222006554,02/26/2022 12:00:00 AM,Olympic
231510452,05/24/2023 12:00:00 AM,N Hollywood
211504819,01/22/2021 12:00:00 AM,N Hollywood
210608827,04/23/2021 12:00:00 AM,Hollywood
231008104,04/17/2023 12:00:00 AM,West Valley
232004501,01/14/2023 12:00:00 AM,Olympic
230507151,03/24/2023 12:00:00 AM,Harbor
221804340,01/08/2022 12:00:00 AM,Southeast
230718552,12/16/2023 12:00:00 AM,Wilshire
230514897,10/19/2023 12:00:00 AM,Harbor
221507119,03/11/2022 12:00:00 AM,N Hollywood
231515086,09/20/2023 12:00:00 AM,N Hollywood
221908685,04/25/2022 12:00:00 AM,Mission
231419365,10/26/2023 12:00:00 AM,Pacific
221507756,03/31/2022 12:00:00 AM,N Hollywood
221213844,05/24/2022 12:00:00 AM,77th Street
