INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Central,22,THEFT OF IDENTITY,CYBERSPACE
Hollywood,21,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SIDEWALK
West LA,42,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Devonshire,15,THEFT PLAIN - PETTY ($950 & UNDER),DEPARTMENT STORE
Northeast,34,BURGLARY FROM VEHICLE,PARKING LOT
Devonshire,46,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,46,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,6,LEWD CONDUCT,SINGLE FAMILY DWELLING
Devonshire,72,THEFT PLAIN - ATTEMPT,SINGLE FAMILY DWELLING
West Valley,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,23,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,44,BURGLARY,PUBLIC STORAGE
77th Street,35,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,10,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,60,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Southeast,32,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,36,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,72,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,0,VEHICLE - STOLEN,STREET
Pacific,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
N Hollywood,18,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Rampart,27,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Southwest,27,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Southeast,29,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,9,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SINGLE FAMILY DWELLING
Van Nuys,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,44,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Topanga,17,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Southwest,25,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Southwest,5,CHILD ANNOYING (17YRS & UNDER),SINGLE FAMILY DWELLING
Mission,36,BURGLARY FROM VEHICLE,STREET
N Hollywood,0,VEHICLE - STOLEN,STREET
Wilshire,18,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Northeast,39,THEFT OF IDENTITY,CYBERSPACE
Rampart,62,ROBBERY,STREET
Devonshire,32,"BUNCO, GRAND THEFT",STREET
Northeast,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Wilshire,26,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,29,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Van Nuys,56,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,24,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,32,BURGLARY FROM VEHICLE,STREET
Northeast,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,44,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Newton,30,THEFT OF IDENTITY,CYBERSPACE
Pacific,0,VEHICLE - STOLEN,STREET
Devonshire,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Rampart,58,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,30,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,51,THEFT OF IDENTITY,CYBERSPACE
N Hollywood,63,THEFT OF IDENTITY,EQUIPMENT RENTAL
Newton,45,THEFT OF IDENTITY,CYBERSPACE
N Hollywood,29,BATTERY WITH SEXUAL CONTACT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,59,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,14,ORAL COPULATION,SINGLE FAMILY DWELLING
Newton,12,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SINGLE FAMILY DWELLING
Harbor,12,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,30,UNAUTHORIZED COMPUTER ACCESS,SINGLE FAMILY DWELLING
N Hollywood,71,THEFT OF IDENTITY,OTHER BUSINESS
Newton,14,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",STREET
Topanga,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,69,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,49,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Southeast,26,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,63,THEFT OF IDENTITY,WEBSITE
Van Nuys,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,57,THEFT OF IDENTITY,CYBERSPACE
Olympic,24,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,15,VIOLATION OF RESTRAINING ORDER,STREET
Central,36,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,29,THEFT OF IDENTITY,CYBERSPACE
Van Nuys,22,SHOPLIFTING - PETTY THEFT ($950 & UNDER),CLOTHING STORE
Mission,5,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,22,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Central,26,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Hollywood,38,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,13,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,61,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,33,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,63,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OFFICE BUILDING/OFFICE
Rampart,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,-2,OTHER MISCELLANEOUS CRIME,POLICE FACILITY
Wilshire,27,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,20,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,28,THEFT PLAIN - PETTY ($950 & UNDER),MTA BUS
Wilshire,31,BURGLARY,GARAGE/CARPORT
77th Street,37,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,59,BRANDISH WEAPON,SIDEWALK
West Valley,43,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Pacific,45,THEFT PLAIN - PETTY ($950 & UNDER),OTHER BUSINESS
Southeast,63,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,78,DOCUMENT FORGERY / STOLEN FELONY,SINGLE FAMILY DWELLING
Topanga,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,67,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),SPECIALTY SCHOOL/OTHER
West LA,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,26,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Van Nuys,53,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,57,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
77th Street,72,BURGLARY,SINGLE FAMILY DWELLING
Devonshire,35,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,26,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Harbor,28,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,47,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,0,VEHICLE - STOLEN,STREET
77th Street,29,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,21,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Harbor,54,"BUNCO, GRAND THEFT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,0,VEHICLE - STOLEN,GARAGE/CARPORT
Southwest,19,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
Southwest,11,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,23,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Hollywood,35,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,39,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,37,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Central,60,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OFFICE BUILDING/OFFICE
Wilshire,59,THEFT PLAIN - PETTY ($950 & UNDER),GARAGE/CARPORT
Wilshire,34,"BUNCO, GRAND THEFT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,54,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,48,BURGLARY,PUBLIC STORAGE
West Valley,46,BURGLARY FROM VEHICLE,STREET
West Valley,20,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Devonshire,27,THEFT OF IDENTITY,AUTOMATED TELLER MACHINE (ATM)
Hollenbeck,10,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
77th Street,36,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,10,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER BUSINESS
77th Street,35,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Van Nuys,59,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,22,THEFT OF IDENTITY,BANK
Olympic,33,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,60,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,56,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,50,THEFT OF IDENTITY,STREET
Devonshire,41,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,0,VEHICLE - STOLEN,STREET
Hollenbeck,0,OTHER MISCELLANEOUS CRIME,SINGLE FAMILY DWELLING
Northeast,26,THEFT OF IDENTITY,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
Mission,13,CHILD ANNOYING (17YRS & UNDER),SKATING RINK*
Southeast,6,ORAL COPULATION,SINGLE FAMILY DWELLING
Foothill,37,DOCUMENT FORGERY / STOLEN FELONY,OTHER BUSINESS
Devonshire,30,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Newton,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,73,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,5,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Newton,50,ROBBERY,BUS STOP
Harbor,36,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,23,THEFT OF IDENTITY,CYBERSPACE
Northeast,10,BATTERY WITH SEXUAL CONTACT,JUNIOR HIGH SCHOOL
Harbor,64,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",SINGLE FAMILY DWELLING
Pacific,54,THEFT OF IDENTITY,OTHER/OUTSIDE
N Hollywood,21,OTHER MISCELLANEOUS CRIME,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,14,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,SINGLE FAMILY DWELLING
Hollywood,32,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,26,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ALLEY
Rampart,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),"VEHICLE, PASSENGER/TRUCK"
Newton,34,THEFT OF IDENTITY,AUTOMATED TELLER MACHINE (ATM)
Hollenbeck,22,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,33,THEFT OF IDENTITY,ABANDONED BUILDING ABANDONED HOUSE
Pacific,22,INTIMATE PARTNER - SIMPLE ASSAULT,TRANSPORTATION FACILITY (AIRPORT)
Hollenbeck,38,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,36,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Southeast,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
Hollywood,52,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
N Hollywood,29,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,54,BURGLARY,SINGLE FAMILY DWELLING
Olympic,42,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,43,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Foothill,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,0,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,57,DOCUMENT FORGERY / STOLEN FELONY,SINGLE FAMILY DWELLING
West Valley,45,THEFT OF IDENTITY,OTHER BUSINESS
77th Street,22,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,24,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,27,THREATENING PHONE CALLS/LETTERS,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,0,VEHICLE - STOLEN,STREET
Wilshire,48,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Devonshire,37,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
77th Street,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,30,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,12,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Northeast,40,BATTERY - SIMPLE ASSAULT,"VEHICLE, PASSENGER/TRUCK"
77th Street,21,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,0,VEHICLE - STOLEN,STREET
Southeast,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollenbeck,68,BURGLARY,PUBLIC STORAGE
Wilshire,18,"RAPE, FORCIBLE",ALLEY
N Hollywood,39,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Olympic,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Topanga,81,BATTERY - SIMPLE ASSAULT,PARKING LOT
Southwest,54,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,78,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,8,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SINGLE FAMILY DWELLING
Southeast,53,ROBBERY,STREET
Hollywood,54,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,32,BIKE - STOLEN,GARAGE/CARPORT
Southeast,27,"RAPE, FORCIBLE",MOTEL
Rampart,22,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,11,CHILD ANNOYING (17YRS & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,30,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,60,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,41,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Foothill,44,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Olympic,38,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,56,DOCUMENT FORGERY / STOLEN FELONY,SINGLE FAMILY DWELLING
77th Street,8,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SINGLE FAMILY DWELLING
Olympic,62,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,29,THEFT OF IDENTITY,HOSPITAL
Newton,53,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,33,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
West LA,32,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER BUSINESS
Rampart,34,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,38,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,29,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,38,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Foothill,11,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
Mission,7,SEXUAL PENETRATION W/FOREIGN OBJECT,SINGLE FAMILY DWELLING
Foothill,14,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,19,"RAPE, FORCIBLE","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,62,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),SINGLE FAMILY DWELLING
Pacific,28,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,48,THEFT OF IDENTITY,"BUS, SCHOOL, CHURCH"
Mission,8,ORAL COPULATION,SINGLE FAMILY DWELLING
Southwest,6,ORAL COPULATION,SINGLE FAMILY DWELLING
Hollywood,28,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,12,BATTERY WITH SEXUAL CONTACT,SIDEWALK
Harbor,28,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",OTHER PREMISE
77th Street,31,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Pacific,54,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,31,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Central,19,SEXUAL PENETRATION W/FOREIGN OBJECT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,50,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Topanga,23,EXTORTION,ALLEY
Southwest,53,OTHER MISCELLANEOUS CRIME,SINGLE FAMILY DWELLING
Northeast,26,OTHER MISCELLANEOUS CRIME,OTHER PREMISE
N Hollywood,48,OTHER ASSAULT,PARKING LOT
Mission,16,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,45,BURGLARY,STORAGE SHED
Van Nuys,50,BURGLARY,PUBLIC STORAGE
Van Nuys,46,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,44,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Topanga,52,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,80,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Devonshire,51,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
